### Verbos -AR
Presente | Yo | Yo hablo muy bien hoy.
Presente | Tú | Tú trabajas muy bien hoy.
Presente | Él | Él estudia muy bien hoy.
Presente | Nosotros | Nosotros caminamos muy bien hoy.
Presente | Vosotros | Vosotros miráis muy bien hoy.
Presente | Ellos | Ellos escuchan muy bien hoy.
Pretérito | Yo | Yo compré muy bien ayer.
Pretérito | Tú | Tú tomaste muy bien ayer.
Pretérito | Él | Él llamó muy bien ayer.
Pretérito | Nosotros | Nosotros usamos muy bien ayer.
Pretérito | Vosotros | Vosotros viajasteis muy bien ayer.
Pretérito | Ellos | Ellos ayudaron muy bien ayer.
Imperfecto | Yo | Yo cocinaba muy bien cuando era niño.
Imperfecto | Tú | Tú bailabas muy bien cuando era niño.
Imperfecto | Él | Él cantaba muy bien cuando era niño.
Imperfecto | Nosotros | Nosotros limpiábamos muy bien cuando era niño.
Imperfecto | Vosotros | Vosotros tirabais muy bien cuando era niño.
Imperfecto | Ellos | Ellos saltarían muy bien cuando era niño.
Futuro | Yo | Yo esperaré muy bien mañana.
Futuro | Tú | Tú entrarás muy bien mañana.
Futuro | Él | Él llegará muy bien mañana.
Futuro | Nosotros | Nosotros necesitaremos muy bien mañana.
Futuro | Vosotros | Vosotros pagaréis muy bien mañana.
Futuro | Ellos | Ellos prepararán muy bien mañana.
Condicional | Yo | Yo tocaría muy bien si pudiera.
Condicional | Tú | Tú sacarías muy bien si pudiera.
Condicional | Él | Él buscaría muy bien si pudiera.
Condicional | Nosotros | Nosotros lavaríamos muy bien si pudiera.
Condicional | Vosotros | Vosotros ganaríais muy bien si pudiera.
Condicional | Ellos | Ellos terminarían muy bien si pudiera.
Presente perfecto | Yo | Yo he visitado muy bien esta semana.
Presente perfecto | Tú | Tú has arreglado muy bien esta semana.
Presente perfecto | Él | Él ha cambiado muy bien esta semana.
Presente perfecto | Nosotros | Nosotros hemos enseñado muy bien esta semana.
Presente perfecto | Vosotros | Vosotros habéis andado muy bien esta semana.
Presente perfecto | Ellos | Ellos han descansado muy bien esta semana.
Pluscuamperfecto | Yo | Yo había dibujado muy bien antes.
